Major Subject,1957,1958,1959,1960
Eisenhower Administration,42.57,40.88,36.77,24.4
Congress,14.19,13.14,12.11,4.8
Cold War,7.09,10.95,15.7,6
Senate,6.08,1.82,3.14,0.8
Soviet Union,5.07,3.65,1.79,3.6
Little Rock Crisis,3.72,0.73,0,0
Middle East,3.04,1.82,0,0
Labor,3.04,1.09,1.35,0
World Stability,1.35,1.46,5.38,0
"Congressional Elections, 1958",0.34,4.01,0,0
"Presidential Election, 1960",0,1.09,3.59,28.8
"Taiwan Strait Crisis, 1958",0,3.28,0,0
Kennedy Administration,0,0,0,3.6
Civil Rights,1.36,1.82,5.38,5.2
Other,12.15,14.26,14.79,22.8
50%,50,50,50,50
